trains_train_id,starting_state,ending_state,train_no,train_name,duration
149,Meghalaya,Kerala,12508,SCL TVC Express,2d 17h
150,Kerala,Meghalaya,12507,Guwahati Express,2d 16h
151,Meghalaya,Uttar Pradesh,15910,Avadh Assam Express,33h 54m
152,Uttar Pradesh,Meghalaya,15909,Abadh Assam Express,32h 42m
153,Meghalaya,Jharkhand,15662,Kyq Rnc Express,28h 12m
154,Jharkhand,Meghalaya,15661,Rnc Kyq Express,27h 54m
155,Meghalaya,Bihar,15909,Abadh Assam Express,24h 7m
156,Bihar,Meghalaya,15910,Avadh Assam Express,24h 15m
157,Meghalaya,Gujarat,15636,Dwarka Express,2d 8h
158,Gujarat,Meghalaya,15667,Kamakhya Express,2d 10h
159,Meghalaya,Telangana,47124,HYB-LPI Express,2d 0h
160,Telangana,Meghalaya,12514,Ghy Sc Express,47h 48m
161,Meghalaya,Rajasthan,15632,GHY BME BKN Express,37h 42m
162,Rajasthan,Meghalaya,15631,BME GHY Express,49h 55m
163,Maharashtra,Goa,11085,Mao Doubledeckr Express,10h 8m
164,Goa,Maharashtra,11086,Madgaon Mumbai LTT AC Double Decker Express,10h 59m
165,Maharashtra,TamilNadu,11073,LTT Chennai Express,23h 35m
166,TamilNadu,Maharashtra,11074,Chennai Ltt Express,24h 45m
167,Maharashtra,Karnataka,11013,Coimbatore Express,23h 15m
168,Karnataka,Maharashtra,11014,Lokmanya Tt Express,22h 30m
169,Maharashtra,Kerala,16346,Netravathi Express,32h 15m
170,Kerala,Maharashtra,16345,Netravathi Express,30h 45m
171,Maharashtra,Uttar Pradesh,12107,Lucknow Superfast Express,22h 45m
172,Uttar Pradesh,Maharashtra,12108,Ljn Ltt Express,24h 15m
173,Maharashtra,Jharkhand,18610,Ranchi Express,39h 35m
174,Jharkhand,Maharashtra,18609,Rnc Ltt Express,39h 0h
175,Maharashtra,Bihar,11059,Chhapra Express,32h 55m
176,Bihar,Maharashtra,11060,Cpr Ltt Express,34h 10m
177,Maharashtra,Gujarat,12951,Mumbai Rajdhani Express,3h 46m
178,Gujarat,Maharashtra,12479,Suryanagari Superfast Express,3h 20m
179,Maharashtra,Telangana,18520,Ltt Vskp Express,13h 9m
180,Telangana,Maharashtra,12702,Hussainsagar Express,13h 42m
181,Maharashtra,Rajasthan,12955,Bct Jp Express,17h 50m
182,Rajasthan,Maharashtra,12215,Dee Bdts G Rath,21h 55m
183,Goa,TamilNadu,17312,Vsg Chennai Express,21h 15m
184,TamilNadu,Goa,17311,Mas vasco Express,22h 12m
185,Goa,Karnataka,17310,Ypr Biweekly Express,15h 10m
186,Karnataka,Goa,17309,Ypr Vasco Express,15h 30m
187,Goa,Kerala,22634,Nzm Tvc Superfast Express,19h 35m
188,Kerala,Goa,22633,Nizamuddin Express,19h 9m
189,Goa,Uttar Pradesh,12617,Mangala ldweep,26h 51m
190,Uttar Pradesh,Goa,12618,Mngla lksdp Express,26h 52m
191,Goa,Jharkhand,12741,Vsg Patna Express,35h 24m
192,Jharkhand,Goa,12812,Hte ltt Super,33h 12m
193,Goa,Bihar,12741,Vsg Patna Express,44h 56m
194,Bihar,Goa,12742,Pnbe Vsg Express,44h 50m
195,Goa,Gujarat,16312,Bikaner Express,19h 5m
196,Gujarat,Goa,16311,Bkn Kcvl Express,16h 38m
197,Goa,Telangana,11304,Kop Hyb Express,16h 19m
198,Telangana,Goa,11303,Hyb Kop Express,16h 17m
199,Goa,Rajasthan,12977,Maru Sagar Express,26h 25m
200,Rajasthan,Goa,12978,Maru Sagar Express,26h 30m
201,TamilNadu,Karnataka,22625,Sbc Double Deck,5h 30m
202,Karnataka,TamilNadu,22626,Mas Double Deck,6h
203,TamilNadu,Kerala,12623,Trivandrum Mail,16h 30m
204,Kerala,TamilNadu,12624,Chennai Mail,16h 40m
205,TamilNadu,Uttar Pradesh,12512,Raptisagar Express,34h 15m
206,Uttar Pradesh,TamilNadu,12511,Rapti Sagar Express,35h 30m
207,TamilNadu,Jharkhand,13352,Dhanbad Express,33h 25m
208,Jharkhand,TamilNadu,13351,Dhn Alappuzha E,34h 10m
209,TamilNadu,Bihar,12522,Raptisagar Express,41h 51m
210,Bihar,TamilNadu,55116,Sv Cpr Passenger ,43h 25m
211,TamilNadu,Gujarat,12656,Navajivan Express,32h 55m
212,Gujarat,TamilNadu,12655,Navjeevan Express,32h 30m
213,TamilNadu,Telangana,12603,Hyderabad Express,13h
214,Telangana,TamilNadu,12604,Chennai Express,13h 5m
215,TamilNadu,Rajasthan,22631,Madurai Bikaner Anuvrat Express,37h 35m
216,Rajasthan,TamilNadu,12968,Jp Madras Express,38h 10m
217,Karnataka,Kerala,16526,Kanyakumari Express,17h 25m
218,Kerala,Karnataka,16525,Bangalore Express,18h
219,Karnataka,Uttar Pradesh,12592,Gorakhpur Express,40h 25m
220,Uttar Pradesh,Karnataka,22684,Lko Ypr Superfast,43h
221,Karnataka,Jharkhand,18638,Ypr Hatia Express,39h 12m
222,Jharkhand,Karnataka,18637,Hte Ypr Express,36h 30m
223,Karnataka,Bihar,17316,Vlnk Vsg Express,60h 30m
224,Bihar,Karnataka,12742,Pnbe Vsg Expres ,60h 10m
225,Karnataka,Gujarat,16508,Jodhpur Express,33h 5m
226,Gujarat,Karnataka,16533,Bgkt Sbc Express,38h 26m
227,Karnataka,Telangana,22691,Rajdhani Express,14h 11m
228,Telangana,Karnataka,12785,Bangalore Express,13h 53m
229,Karnataka,Rajasthan,12975,Jaipur Express,41h 15m
230,Rajasthan,Karnataka,12976,Jp Mysore Express,40h 56m
231,Kerala,Uttar Pradesh,12512,Raptisagar Express,51h
232,Uttar Pradesh,Kerala,12511,Rapti Sagar Express,53h
233,Kerala,Jharkhand,64207,Lucknow Kanpur MEMU ,22h 35m
234,Jharkhand,Kerala,13351,Dhn Alappuzha E ,54h
235,Kerala,Bihar,16525,Bangalore Express ,80h
236,Bihar,Kerala,12742,Pnbe Vsg Expres ,83h
237,Kerala,Gujarat,19423,GIMB Humsafar,36h 5m
238,Gujarat,Kerala,16333,Veraval Trivandrum VRL TVC Express,38h 5m
239,Kerala,Telangana,17229,Sabari Express,29h 40m
240,Telangana,Kerala,17230,Sabari Express,31h 35m
241,Kerala,Rajasthan,22633,Nizamuddin Express,45h 35m
242,Rajasthan,Kerala,12432,Trivndrm Rajdhani,45h 15m
243,Uttar Pradesh,Jharkhand,12876,Neelachal Exp,16h 53m
244,Jharkhand,Uttar Pradesh,12875,Puri New Delhi Neelachal Exp,15h 15m
245,Uttar Pradesh,Bihar,15910,Avadh Assam Express,8h
246,Bihar,Uttar Pradesh,12553,Vaishali Exp,7h 20m
247,Uttar Pradesh,Gujarat,19168,Sabarmati Exp,28h 30m
248,Gujarat,Uttar Pradesh,19167,Sabarmati Exp,28h
249,Uttar Pradesh,Telangana,12592,Gorakhpur Express,27h 20m
250,Telangana,Uttar Pradesh,12591,Gkp Ypr Exp,27h 38m
251,Uttar Pradesh,Rajasthan,14853,Marudhar Exp,11h 50m
252,Rajasthan,Uttar Pradesh,19715,Jp Ljn Exp,13h 25m
253,Jharkhand,Bihar,15027,Maurya Exp,19h 40m
254,Bihar,Jharkhand,15028,Maurya Exp,21h 55m 
255,Jharkhand,Gujarat,13425,Mldt St Exp,28h 40m
256,Gujarat,Jharkhand,13426,St Malda Town Exp,29h 10m
257,Jharkhand,Telangana,7006,Cct Hyb Exp,25h 30m
258,Telangana,Jharkhand,7005,Hyb Rxl Spl Exp,24h 55m
259,Jharkhand,Rajasthan,18631,Rnc Garibnwaz Exp,30h 40m
260,Rajasthan,Jharkhand,18632,Rnc Garib Nawaz Exp,30h 35m
261,Bihar,Gujarat,15269,Mfp-Adi Jansadharan Exp,32h
262,Gujarat,Bihar,15270,Adi-Mfp Jansadharan Exp,30h 35m
263,Bihar,Telangana,12521,Rapti Sagar Express,32h 13m
264,Telangana,Bihar,12522,Rapti Sagar Express,32h 6m
265,Bihar,Rajasthan,15269,Mfp-Adi Jansadharan Exp,19h 35m 
266,Rajasthan,Bihar,15270,Adi-Mfp Jansadharan Exp,19h 10m
267,Gujarat,Telangana,17017,Rjt Sc Exp,23h 25m
268,Telangana,Gujarat,17018,Rajkot Exp,22h 45m
269,Gujarat,Rajasthan,12957,Swarna Jayanthi Rajdhani,9h 10m
270,Rajasthan,Gujarat,12916,Ashram Exp,11h 5m
271,Telangana,Rajasthan,12975,Jaipur Express,28h 5m
272,Rajasthan,Telangana,12976,jp Mysore Express,28h 5m
